ROWNUM;Name;Longitude_WGS84;Latitude_WGS84;NameOfStation;Line;ModeOnEvenDays;ModeOnOddDays;FullFeaturedBPAAmount;LittleFunctionalBPAAmount;BPAAmount;RepairOfEscalators;GLOBALID;
466;"Сходненская, вход 5 в первый вестибюль";"37.44075734";"55.84931835";"Сходненская";"Таганско-Краснопресненская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:42:55, по 2 пути в 05:56:55; последний поезд по 1 пути в 01:04:00, по 2 пути в 01:57:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00, по 2 пути в 05:56:55; последний поезд по 1 пути в 01:04:00, по 2 пути в 01:57:30";"";"3";"3";"";"85312261";
467;"Таганская, вход 1 в вестибюль";"37.65333544";"55.74245502";"Таганская";"Кольцевая линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:48:40, по 2 пути в 05:48:25; последний поезд по 1 пути в 01:33:20, по 2 пути в 01:26:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:47:50, по 2 пути в 05:52:45; последний поезд по 1 пути в 01:40:50, по 2 пути в 01:32:55";"";"";"";"09.12.2013-14.02.2014";"85312266";
468;"Текстильщики, вход 1 в восточный вестибюль";"37.73313261";"55.70953473";"Текстильщики";"Таганско-Краснопресненская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:50, по 2 пути в 05:41:40; последний поезд по 1 пути в 01:43:15, по 2 пути в 01:19:05";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:59:40, по 2 пути в 05:41:40; последний поезд по 1 пути в 01:43:15, по 2 пути в 01:19:05";"";"3";"3";"";"85312271";
469;"Текстильщики, вход 2 в восточный вестибюль";"37.73366842";"55.70952738";"Текстильщики";"Таганско-Краснопресненская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:50, по 2 пути в 05:41:40; последний поезд по 1 пути в 01:43:15, по 2 пути в 01:19:05";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:59:40, по 2 пути в 05:41:40; последний поезд по 1 пути в 01:43:15, по 2 пути в 01:19:05";"";"3";"3";"";"85312274";
470;"Текстильщики, вход 3 в восточный вестибюль";"37.73365898";"55.70895313";"Текстильщики";"Таганско-Краснопресненская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:50, по 2 пути в 05:41:40; последний поезд по 1 пути в 01:43:15, по 2 пути в 01:19:05";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:59:40, по 2 пути в 05:41:40; последний поезд по 1 пути в 01:43:15, по 2 пути в 01:19:05";"";"3";"3";"";"85312272";
471;"Текстильщики, вход 4 в восточный вестибюль";"37.73312791";"55.70895312";"Текстильщики";"Таганско-Краснопресненская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:50, по 2 пути в 05:41:40; последний поезд по 1 пути в 01:43:15, по 2 пути в 01:19:05";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:59:40, по 2 пути в 05:41:40; последний поезд по 1 пути в 01:43:15, по 2 пути в 01:19:05";"";"3";"3";"";"85312275";
472;"Текстильщики, вход 1 в западный вестибюль";"37.72872186";"55.70853364";"Текстильщики";"Таганско-Краснопресненская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:50, по 2 пути в 05:41:40; последний поезд по 1 пути в 01:43:15, по 2 пути в 01:19:05";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:59:40, по 2 пути в 05:41:40; последний поезд по 1 пути в 01:43:15, по 2 пути в 01:19:05";"";"5";"5";"";"85312270";
473;"Текстильщики, вход 2 в западный вестибюль";"37.72992153";"55.70838745";"Текстильщики";"Таганско-Краснопресненская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:50, по 2 пути в 05:41:40; последний поезд по 1 пути в 01:43:15, по 2 пути в 01:19:05";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:59:40, по 2 пути в 05:41:40; последний поезд по 1 пути в 01:43:15, по 2 пути в 01:19:05";"";"5";"5";"";"85312273";
474;"Телецентр, вход в вестибюль";"37.60918263";"55.8218552";"Телецентр";"Московская монорельсовая транспортная система";"открытие в 07:00:00; закрытие в 23:00:00; первый поезд по 1 пути в 07:09:15, по 2 пути в 07:07:35; последний поезд по 1 пути в 23:14:15, по 2 пути в 23:12:35";"открытие в 07:00:00; закрытие в 23:00:00; первый поезд по 1 пути в 07:09:15, по 2 пути в 07:07:35; последний поезд по 1 пути в 23:14:15, по 2 пути в 23:12:35";"";"";"";"";"85312276";
475;"Тёплый стан, вход 1 в северный вестибюль";"37.50527078";"55.61984711";"Тёплый стан";"Калужско-Рижская линия";"открытие в 05:41:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:50, по 2 пути в 05:49:10; последний поезд по 1 пути в 01:08:20, по 2 пути в 01:53:25";"открытие в 05:49:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:25, по 2 пути в 05:58:55; последний поезд по 1 пути в 01:08:20, по 2 пути в 01:53:25";"";"5";"5";"";"85312277";
476;"Тёплый стан, вход 2 в северный вестибюль";"37.50613422";"55.61966318";"Тёплый стан";"Калужско-Рижская линия";"открытие в 05:41:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:50, по 2 пути в 05:49:10; последний поезд по 1 пути в 01:08:20, по 2 пути в 01:53:25";"открытие в 05:49:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:25, по 2 пути в 05:58:55; последний поезд по 1 пути в 01:08:20, по 2 пути в 01:53:25";"";"5";"5";"";"85312278";
477;"Тёплый стан, вход 3 в северный вестибюль";"37.50719067";"55.6196344";"Тёплый стан";"Калужско-Рижская линия";"открытие в 05:41:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:50, по 2 пути в 05:49:10; последний поезд по 1 пути в 01:08:20, по 2 пути в 01:53:25";"открытие в 05:49:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:25, по 2 пути в 05:58:55; последний поезд по 1 пути в 01:08:20, по 2 пути в 01:53:25";"";"5";"5";"";"85312279";
478;"Тёплый стан, вход 1 в южный вестибюль";"37.50847267";"55.6177689";"Тёплый стан";"Калужско-Рижская линия";"открытие в 05:41:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:50, по 2 пути в 05:49:10; последний поезд по 1 пути в 01:08:20, по 2 пути в 01:53:25";"открытие в 05:49:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:25, по 2 пути в 05:58:55; последний поезд по 1 пути в 01:08:20, по 2 пути в 01:53:25";"";"5";"5";"";"85312281";
479;"Тёплый стан, вход 2 в южный вестибюль";"37.50801302";"55.61743843";"Тёплый стан";"Калужско-Рижская линия";"открытие в 05:41:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:50, по 2 пути в 05:49:10; последний поезд по 1 пути в 01:08:20, по 2 пути в 01:53:25";"открытие в 05:49:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:00:25, по 2 пути в 05:58:55; последний поезд по 1 пути в 01:08:20, по 2 пути в 01:53:25";"";"5";"5";"";"85312280";
