ROWNUM;Name;Longitude_WGS84;Latitude_WGS84;NameOfStation;Line;ModeOnEvenDays;ModeOnOddDays;FullFeaturedBPAAmount;LittleFunctionalBPAAmount;BPAAmount;RepairOfEscalators;GLOBALID;
1;"Молодёжная, вход в восточный вестибюль";"37.41813456";"55.74023103";"Молодёжная";"Арбатско-Покровская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:30, по 2 пути в 05:51:55; последний поезд по 1 пути в 01:45:00, по 2 пути в 01:24:00";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:55, по 2 пути в 05:42:15; последний поезд по 1 пути в 01:45:00, по 2 пути в 01:24:00";"";"5";"5";"";"85312074";
2;"Молодёжная, вход в западный вестибюль";"37.41562744";"55.74143284";"Молодёжная";"Арбатско-Покровская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:50:30, по 2 пути в 05:51:55; последний поезд по 1 пути в 01:45:00, по 2 пути в 01:24:00";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:55, по 2 пути в 05:42:15; последний поезд по 1 пути в 01:45:00, по 2 пути в 01:24:00";"";"6";"6";"";"85312073";
3;"Мякинино, вход в вестибюль";"37.38508791";"55.82347788";"Мякинино";"Арбатско-Покровская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:04:30, по 2 пути в 05:45:00; последний поезд по 1 пути в 01:59:05, по 2 пути в 01:10:25";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:07:00, по 2 пути в 05:45:00; последний поезд по 1 пути в 01:59:05, по 2 пути в 01:10:25";"";"4";"4";"";"85312075";
4;"Нагатинская, вход в северный вестибюль";"37.62270092";"55.68424097";"Нагатинская";"Серпуховско-Тимирязевская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"";"4";"4";"";"85312079";
5;"Нагатинская, вход 1 в южный вестибюль";"37.62157133";"55.68224267";"Нагатинская";"Серпуховско-Тимирязевская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"";"6";"6";"";"85312077";
6;"Нагатинская, вход 2 в южный вестибюль";"37.62143809";"55.68217592";"Нагатинская";"Серпуховско-Тимирязевская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"";"6";"6";"";"85312078";
7;"Нагатинская, вход 3 в южный вестибюль";"37.62205501";"55.68195201";"Нагатинская";"Серпуховско-Тимирязевская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:39:25, по 2 пути в 06:00:10; последний поезд по 1 пути в 01:22:40, по 2 пути в 01:41:25";"";"6";"6";"";"85312076";
8;"Нагорная, вход 1 в вестибюль";"37.61040011";"55.67302008";"Нагорная";"Серпуховско-Тимирязевская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:37:00, по 2 пути в 06:02:00; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:43:00";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:37:00, по 2 пути в 06:02:00; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:43:00";"";"4";"4";"";"85312080";
9;"Нагорная, вход 2 в вестибюль";"37.61107274";"55.67287389";"Нагорная";"Серпуховско-Тимирязевская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:37:00, по 2 пути в 06:02:00; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:43:00";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:37:00, по 2 пути в 06:02:00; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:43:00";"";"4";"4";"";"85312081";
10;"Нахимовский проспект, вход 1 в северный вестибюль";"37.6060611";"55.66386424";"Нахимовский проспект";"Серпуховско-Тимирязевская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:05; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:05; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"";"4";"4";"";"85312086";
11;"Нахимовский проспект, вход 2 в северный вестибюль";"37.60696314";"55.66359784";"Нахимовский проспект";"Серпуховско-Тимирязевская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:05; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:05; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"";"4";"4";"";"85312083";
12;"Нахимовский проспект, вход 3 в северный вестибюль";"37.60607666";"55.66342236";"Нахимовский проспект";"Серпуховско-Тимирязевская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:05; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:05; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"";"4";"4";"";"85312082";
13;"Нахимовский проспект, вход 1 в южный вестибюль";"37.60418954";"55.66215183";"Нахимовский проспект";"Серпуховско-Тимирязевская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:05; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:05; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"";"4";"4";"17.11.2014-23.12.2014";"85312084";
14;"Нахимовский проспект, вход 2 в южный вестибюль";"37.60520902";"55.6619535";"Нахимовский проспект";"Серпуховско-Тимирязевская линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:05; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:45, по 2 пути в 06:04:05; последний поезд по 1 пути в 01:19:00, по 2 пути в 01:45:10";"";"4";"4";"17.11.2014-23.12.2014";"85312085";
15;"Библиотека имени Ленина, нет вестибюля, вход через восточный вестибюль станции метро «Александровский сад»";"37.61265514";"55.75222684";"Библиотека имени Ленина";"Сокольническая линия";"первый поезд по 1 пути в 05:41:10, по 2 пути в 05:55:15; последний поезд по 1 пути в 01:24:20, по 2 пути в 01:22:00";"первый поезд по 1 пути в 05:41:10, по 2 пути в 05:55:15; последний поезд по 1 пути в 01:24:20, по 2 пути в 01:22:00";"";"";"";"";"85311861";
16;"Улица Старокачаловская, нет вестибюля, вход 1 через южный вестибюль станции метро «Бульвар Дмитрия Донского»";"37.575442";"55.56884159";"Улица Старокачаловская";"Бутовская линия Лёгкого метро";"первый поезд по 1 пути в 05:48:55, по 2 пути в 06:09:40; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:16:00";"первый поезд по 1 пути в 05:48:55, по 2 пути в 06:09:40; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:16:00";"";"";"";"";"85312315";
17;"Театральная, нет вестибюля, вход через северный вестибюль станции метро «Охотный ряд»";"37.61781258";"55.75884462";"Театральная";"Замоскворецкая линия";"первый поезд по 1 пути в 05:49:10, по 2 пути в 05:43:25; последний поезд по 1 пути в 01:39:05, по 2 пути в 01:25:55";"первый поезд по 1 пути в 05:49:10, по 2 пути в 05:43:25; последний поезд по 1 пути в 01:39:05, по 2 пути в 01:25:55";"";"";"";"14.01.2014-06.03.2014";"85312269";
18;"Театральная, нет вестибюля, вход через западный вестибюль станции метро «Площадь Революции»";"37.61960573";"55.75660529";"Театральная";"Замоскворецкая линия";"первый поезд по 1 пути в 05:49:10, по 2 пути в 05:43:25; последний поезд по 1 пути в 01:39:05, по 2 пути в 01:25:55";"первый поезд по 1 пути в 05:49:10, по 2 пути в 05:43:25; последний поезд по 1 пути в 01:39:05, по 2 пути в 01:25:55";"";"";"";"02.09.2014-30.10.2014";"85312158";
19;"Тверская, нет вестибюля, вход 6 через вестибюль станции метро «Пушкинская»";"37.60391842";"55.7654023";"Тверская";"Замоскворецкая линия";"первый поезд по 1 пути в 05:51:25, по 2 пути в 05:41:05; последний поезд по 1 пути в 01:41:10, по 2 пути в 01:23:40";"первый поезд по 1 пути в 05:51:25, по 2 пути в 05:41:10; последний поезд по 1 пути в 01:41:10, по 2 пути в 01:23:40";"";"";"";"";"85312267";
20;"Тверская, нет вестибюля, вход 7 через вестибюль станции метро «Пушкинская»";"37.60563287";"55.76431497";"Тверская";"Замоскворецкая линия";"первый поезд по 1 пути в 05:51:25, по 2 пути в 05:41:05; последний поезд по 1 пути в 01:41:10, по 2 пути в 01:23:40";"первый поезд по 1 пути в 05:51:25, по 2 пути в 05:41:10; последний поезд по 1 пути в 01:41:10, по 2 пути в 01:23:40";"";"";"";"";"85312268";
21;"Новогиреево, вход 1 в восточный вестибюль";"37.81854973";"55.75170706";"Новогиреево";"Калининская линия";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";"";"7";"7";"";"85312090";
22;"Новогиреево, вход 2 в восточный вестибюль";"37.81841398";"55.75131074";"Новогиреево";"Калининская линия";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";"";"7";"7";"";"85312089";
23;"Новогиреево, вход 1 в западный вестибюль";"37.81458966";"55.75229781";"Новогиреево";"Калининская линия";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";"";"6";"6";"";"85312087";
24;"Новогиреево, вход 2 в западный вестибюль";"37.81493224";"55.75181411";"Новогиреево";"Калининская линия";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:30:35, по 2 пути в 06:00:15; последний поезд по 1 пути в 01:07:05, по 2 пути в 01:20:45";"";"6";"6";"";"85312088";
25;"Новокосино, вход 1 в восточный вестибюль";"37.86543824";"55.74604408";"Новокосино";"Калининская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";"";"2";"2";"";"85312091";
26;"Новокосино, вход 2 в восточный вестибюль";"37.86631082";"55.74448476";"Новокосино";"Калининская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";"";"2";"2";"";"85312092";
27;"Новокосино, вход 1 в западный вестибюль";"37.86162594";"55.74540743";"Новокосино";"Калининская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";"";"2";"2";"";"85312095";
28;"Новокосино, вход 2 в западный вестибюль";"37.86247006";"55.74410753";"Новокосино";"Калининская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";"";"2";"2";"";"85312094";
29;"Новокосино, вход 3 в западный вестибюль";"37.86265975";"55.74384006";"Новокосино";"Калининская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00, по 2 пути в 06:04:30; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:24:30";"";"2";"2";"";"85312093";
30;"Новокузнецкая, вход в вестибюль";"37.62928117";"55.74245028";"Новокузнецкая";"Замоскворецкая линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:20, по 2 пути в 05:46:20; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:28:35";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:46:20, по 2 пути в 05:46:20; последний поезд по 1 пути в 01:36:20, по 2 пути в 01:28:35";"";"3";"3";"";"85312096";
31;"Новослободская, вход в вестибюль";"37.60125225";"55.77966467";"Новослободская";"Кольцевая линия";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:36:35, по 2 пути в 05:50:30; последний поезд по 1 пути в 01:22:05, по 2 пути в 01:37:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:36:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:29:35, по 2 пути в 01:44:00";"";"4";"4";"";"85312097";
32;"Новоясеневская, вход 1 в северный вестибюль";"37.55302095";"55.60200441";"Новоясеневская";"Калужско-Рижская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:41:10, по 2 пути в 05:54:15; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:58:30";"открытие в 05:45:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:45, по 2 пути в 06:04:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:58:32";"";"4";"4";"";"85312099";
33;"Новоясеневская, вход 2 в северный вестибюль";"37.55292884";"55.60145829";"Новоясеневская";"Калужско-Рижская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:41:10, по 2 пути в 05:54:15; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:58:30";"открытие в 05:45:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:45, по 2 пути в 06:04:00; последний поезд по 1 пути в 01:03:00, по 2 пути в 01:58:32";"";"4";"4";"";"85312098";
34;"Новые Черёмушки, вход 1 в северный вестибюль";"37.55523449";"55.67117212";"Новые Черёмушки";"Калужско-Рижская линия";"открытие в 05:23:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:25, по 2 пути в 05:53:10; последний поезд по 1 пути в 01:17:40, по 2 пути в 01:43:55";"открытие в 05:23:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:33:55, по 2 пути в 05:49:25; последний поезд по 1 пути в 01:17:40, по 2 пути в 01:43:55";"";"4";"4";"";"85312102";
35;"Новые Черёмушки, вход 2 в северный вестибюль";"37.55573453";"55.67101034";"Новые Черёмушки";"Калужско-Рижская линия";"открытие в 05:23:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:25, по 2 пути в 05:53:10; последний поезд по 1 пути в 01:17:40, по 2 пути в 01:43:55";"открытие в 05:23:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:33:55, по 2 пути в 05:49:25; последний поезд по 1 пути в 01:17:40, по 2 пути в 01:43:55";"";"4";"4";"";"85312103";
36;"Новые Черёмушки, вход 1 в южный вестибюль";"37.55351264";"55.66958861";"Новые Черёмушки";"Калужско-Рижская линия";"открытие в 05:23:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:25, по 2 пути в 05:53:10; последний поезд по 1 пути в 01:17:40, по 2 пути в 01:43:55";"открытие в 05:23:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:33:55, по 2 пути в 05:49:25; последний поезд по 1 пути в 01:17:40, по 2 пути в 01:43:55";"";"3";"3";"";"85312100";
37;"Новые Черёмушки, вход 2 в южный вестибюль";"37.55402839";"55.66941708";"Новые Черёмушки";"Калужско-Рижская линия";"открытие в 05:23:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:35:25, по 2 пути в 05:53:10; последний поезд по 1 пути в 01:17:40, по 2 пути в 01:43:55";"открытие в 05:23:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:33:55, по 2 пути в 05:49:25; последний поезд по 1 пути в 01:17:40, по 2 пути в 01:43:55";"";"3";"3";"";"85312101";
38;"Октябрьская, вход 1 в вестибюль";"37.61285231";"55.731291";"Октябрьская";"Калужско-Рижская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:55:15, по 2 пути в 05:41:50; последний поезд по 1 пути в 01:39:25, по 2 пути в 01:20:30";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:15, по 2 пути в 05:49:40; последний поезд по 1 пути в 01:37:25, по 2 пути в 01:27:00";"";"2";"2";"";"85312105";
39;"Октябрьская, вход 2 в вестибюль";"37.61105063";"55.72932251";"Октябрьская";"Кольцевая линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:55:15, по 2 пути в 05:41:50; последний поезд по 1 пути в 01:39:25, по 2 пути в 01:20:30";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:15, по 2 пути в 05:49:40; последний поезд по 1 пути в 01:37:25, по 2 пути в 01:27:00";"";"2";"2";"13.05.2014-27.06.2014";"85312104";
40;"Октябрьское поле, вход 1 во второй вестибюль";"37.49490746";"55.79306079";"Октябрьское поле";"Таганско-Краснопресненская линия";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:35, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:10, по 2 пути в 01:47:10";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:00, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:20, по 2 пути в 01:47:10";"";"5";"5";"";"85312112";
41;"Октябрьское поле, вход 2 во второй вестибюль";"37.49505972";"55.79285197";"Октябрьское поле";"Таганско-Краснопресненская линия";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:35, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:10, по 2 пути в 01:47:10";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:00, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:20, по 2 пути в 01:47:10";"";"5";"5";"";"85312113";
42;"Октябрьское поле, вход 4 во второй вестибюль";"37.49425364";"55.79280721";"Октябрьское поле";"Таганско-Краснопресненская линия";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:35, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:10, по 2 пути в 01:47:10";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:00, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:20, по 2 пути в 01:47:10";"";"5";"5";"";"85312110";
43;"Октябрьское поле, вход 5 во второй вестибюль";"37.49474678";"55.79265829";"Октябрьское поле";"Таганско-Краснопресненская линия";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:35, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:10, по 2 пути в 01:47:10";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:00, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:20, по 2 пути в 01:47:10";"";"5";"5";"";"85312111";
44;"Октябрьское поле, вход 1 в первый вестибюль";"37.49244687";"55.79432556";"Октябрьское поле";"Таганско-Краснопресненская линия";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:35, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:10, по 2 пути в 01:47:10";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:00, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:20, по 2 пути в 01:47:10";"";"5";"5";"";"85312109";
45;"Октябрьское поле, вход 2 в первый вестибюль";"37.49261529";"55.79411614";"Октябрьское поле";"Таганско-Краснопресненская линия";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:35, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:10, по 2 пути в 01:47:10";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:00, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:20, по 2 пути в 01:47:10";"";"5";"5";"";"85312108";
46;"Октябрьское поле, вход 3 в первый вестибюль";"37.49204622";"55.79411283";"Октябрьское поле";"Таганско-Краснопресненская линия";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:35, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:10, по 2 пути в 01:47:10";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:00, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:20, по 2 пути в 01:47:10";"";"5";"5";"";"85312107";
47;"Октябрьское поле, вход 4 в первый вестибюль";"37.49230946";"55.79392714";"Октябрьское поле";"Таганско-Краснопресненская линия";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:35, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:10, по 2 пути в 01:47:10";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:00, по 2 пути в 05:46:05; последний поезд по 1 пути в 01:15:20, по 2 пути в 01:47:10";"";"5";"5";"";"85312106";
48;"Орехово, вход 1 в северный вестибюль";"37.69408984";"55.61421245";"Орехово";"Замоскворецкая линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:05, по 2 пути в 06:01:45; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:51:30";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:05, по 2 пути в 05:53:25; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:51:30";"";"4";"4";"";"85312116";
49;"Орехово, вход 2 в северный вестибюль";"37.69344025";"55.61378573";"Орехово";"Замоскворецкая линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:05, по 2 пути в 06:01:45; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:51:30";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:05, по 2 пути в 05:53:25; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:51:30";"";"4";"4";"";"85312115";
50;"Орехово, вход в южный вестибюль";"37.69612609";"55.61239411";"Орехово";"Замоскворецкая линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:05, по 2 пути в 06:01:45; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:51:30";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:05, по 2 пути в 05:53:25; последний поезд по 1 пути в 01:13:00, по 2 пути в 01:51:30";"";"4";"4";"";"85312114";
51;"Отрадное, вход 1 в северный вестибюль";"37.60530947";"55.86437159";"Отрадное";"Серпуховско-Тимирязевская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:00, по 2 пути в 05:54:00; последний поезд по 1 пути в 01:55:00, по 2 пути в 01:08:00";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:55:00, по 2 пути в 01:08:00";"";"5";"5";"";"85312118";
52;"Отрадное, вход 2 в северный вестибюль";"37.60608948";"55.86417812";"Отрадное";"Серпуховско-Тимирязевская линия";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:00, по 2 пути в 05:54:00; последний поезд по 1 пути в 01:55:00, по 2 пути в 01:08:00";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:55:00, по 2 пути в 01:08:00";"";"5";"5";"";"85312119";
53;"Отрадное, вход 1 в южный вестибюль";"37.60364124";"55.86268674";"Отрадное";"Серпуховско-Тимирязевская линия";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:00, по 2 пути в 05:54:00; последний поезд по 1 пути в 01:55:00, по 2 пути в 01:08:00";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:55:00, по 2 пути в 01:08:00";"";"4";"4";"";"85312120";
54;"Отрадное, вход 2 в южный вестибюль";"37.6044457";"55.86246675";"Отрадное";"Серпуховско-Тимирязевская линия";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:01:00, по 2 пути в 05:54:00; последний поезд по 1 пути в 01:55:00, по 2 пути в 01:08:00";"открытие в 05:40:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:00, по 2 пути в 05:52:00; последний поезд по 1 пути в 01:55:00, по 2 пути в 01:08:00";"";"4";"4";"";"85312117";
